Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032,1,CR2032 holder,C5365915
"C1, C9",0805,2,100nF,C49678
"C11, C14, C19, C2",0805,4,10nF,C1710
"C12, C17, C18, C4, C7",0805,5,10uF,C440198
"C13, C8",C_Radial_D10.0mm_H20.0mm_P5.00mm,2,100uF,
"C15, C16",0805,2,1uF,C28323
C3,0805,1,47uF,C16780
C6,0805,1,22uF,C45783
"D1, D18, D4, D6, D9",0805,5,LED_RED,C84256
"D10, D2",D_SMA_Handsoldering,2,SS54,C22452
"D3, D5, D7, D8",D_SMA,4,SS34,C8678
F1,fuse_holder,1,20A holder,
F2,0805,1,Polyfuse,
J1,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,PWR_IN,
J10,sensorconn,1,WS2812B,
J11,pwrconn,1,WS2812B_PWR,
"J12, J5",pwrconn,2,CONN_PUMP1,
J13,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C,C2894897
J2,dataconn,1,DATA_OUT,
J3,BarrelJack_Wuerth_6941xx301002,1,DC jack in,
J4,pwrconn,1,PWR_OUT,
J6,sensorconn,1,WATER_LEVEL_1,
J7,sensorconn,1,WATER_LEVEL_2,
J8,PinHeader_1x04_P2.54mm_Vertical,1,I2C,
J9,PinHeader_1x04_P2.54mm_Vertical,1,UART,
L1,L_10.4x10.4_H4.8,1,47uH,C9934
"Q1, Q2",TO-252-2,2,AOD4184A,C5370959
"R1, R24",0805,2,100k,C149504
"R10, R11, R14, R30, R31, R4, R6",0805,7,10k,C17414
"R12, R2, R25, R26",0805,4,220R,C17557
R13,0805,1,"2,2k",C17520
R15,0805,1,"3,3k",C26010
R16,0805,1,150k,C17470
"R17, R28",2512,2,R_SENSE,C5121057
"R18, R27, R29, R3, R9",0805,5,100R,C17408
R19,0805,1,5k1,C27834
"R20, R21",0603,2,5.1k,C23186
"R22, R23",0603,2,20,C22950
R5,4020,1,R_SENSE,C4944105
"R7, R8",0805,2,10R,C17415
SW1,SW_SPST_SKQG_WithStem,1,BTN_RST,C318884
SW2,SW_SPST_SKQG_WithStem,1,BTN_BOOT0,C318884
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N4,C2913197 
U2,AHT20,1,AHT20,C3012622
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186 
"U4, U7, U8",SOT-23-5,3,INA180A2,C116203 
U5,TI_SO-PowerPAD-8_ThermalVias,1,TPS5430DDA,C9864
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,DS3231MZ,C107410
