Designator,Mid X,Mid Y,Rotation,Layer
BT1,64.65,-78.75,0.0,top
C1,81.45,-69.25,180.0,top
C11,109.365,-78.5,90.0,top
C12,114.365,-87.55,0.0,top
C13,93.25,-63.0,180.0,top
C14,124.79,-100.71,180.0,top
C15,47.55,-117.5,180.0,top
C16,67.0,-94.75,0.0,top
C17,51.75,-66.5,0.0,top
C18,138.0,-141.0,180.0,top
C19,124.725,-114.1525,180.0,top
C2,123.0,-90.0,0.0,top
C3,85.75,-67.0,0.0,top
C4,108.615,-75.55,180.0,top
C6,81.45,-67.0,180.0,top
C7,108.615,-73.3,180.0,top
C8,134.25,-72.25,0.0,top
C9,43.5,-71.75,180.0,top
D1,106.815,-100.21,180.0,top
D10,130.975,-109.4025,90.0,top
D18,43.725,-93.0,180.0,top
D2,131.04,-95.96,90.0,top
D3,114.365,-74.05,0.0,top
D4,43.75,-87.25,180.0,top
D5,102.615,-74.55,180.0,top
D6,133.25,-62.75,270.0,top
D7,87.25,-70.25,0.0,top
D8,52.83764,-140.5,180.0,top
D9,106.75,-113.6525,180.0,top
F1,120.325,-68.875,90.0,top
F2,93.225,-70.0,180.0,top
J1,119.125,-60.3425,0.0,top
J13,43.98264,-134.164,270.0,top
J3,104.625,-67.175,180.0,top
J8,53.27,-59.25,270.0,top
J9,66.77,-59.25,270.0,top
L1,102.365,-82.7,270.0,top
Q1,115.38,-95.0325,0.0,top
Q2,115.315,-108.475,0.0,top
R1,106.79,-94.96,0.0,top
R10,47.6625,-75.5,180.0,top
R11,44.0,-75.5,0.0,top
R12,47.8375,-87.25,0.0,top
R13,133.25,-58.75,90.0,top
R14,114.3625,-85.15,0.0,top
R15,117.25,-83.0875,90.0,top
R16,117.25,-86.8375,270.0,top
R17,124.49,-93.46,180.0,top
R18,127.79,-99.96,270.0,top
R19,51.5,-117.5,0.0,top
R2,110.815,-100.21,0.0,top
R20,51.25,-131.524,180.0,top
R21,51.25,-136.774,0.0,top
R22,51.25,-133.274,0.0,top
R23,51.25,-135.024,0.0,top
R24,106.725,-108.4025,0.0,top
R25,110.75,-113.6525,0.0,top
R26,47.725,-93.0,0.0,top
R27,106.725,-106.1525,0.0,top
R28,124.425,-106.9025,180.0,top
R29,127.725,-113.4025,270.0,top
R3,106.79,-92.71,0.0,top
R30,138.0,-117.0,180.0,top
R31,138.0,-114.75,180.0,top
R4,47.0,-64.8375,270.0,top
R5,128.25,-83.5,90.0,top
R6,47.0,-68.6625,90.0,top
R7,48.0,-153.25,90.0,top
R8,60.25,-153.3375,90.0,top
R9,123.0,-87.75,180.0,top
SW1,55.0,-121.75,0.0,top
SW2,45.75,-121.75,0.0,top
U1,55.0,-106.5,90.0,top
U2,43.5,-66.5,90.0,top
U3,82.45,-61.1,270.0,top
U4,122.55,-83.5,90.0,top
U5,113.25,-80.0,90.0,top
U6,47.135,-80.525,0.0,top
U7,124.4025,-97.66,0.0,top
U8,124.3375,-111.1025,0.0,top
