Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100nF,C49678
"D1, D11, D13, D15, D17, D18, D3, D5, D7, D9",0805,10,LED_RED,C84256
"D10, D12, D14, D16, D2, D4, D6, D8",D_SMA_Handsoldering,8,SS54,C22452
J1,pwrconn,1,PWR_IN,
"J10, J11, J12, J5, J6, J7, J8, J9",pwrconn,8,SELENOID_CONN,
J2,dataconn,1,DATA_OUT,
J3,dataconn,1,DATA_IN,
J4,pwrconn,1,PWR_OUT,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",SOT-23,8,AO3400A,C20917
"R1, R10, R13, R16, R19, R22, R4, R7",0805,8,100k,C149504
"R11, R14, R17, R2, R20, R23, R26, R5, R8",0805,9,220R,C17557
"R12, R15, R18, R21, R24, R3, R6, R9",0805,8,100R,C17408
R25,0805,1,"2,2k",C17520
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC595D,C5947
