Designator,Mid X,Mid Y,Rotation,Layer
C1,170.2,-53.25,0.0,top
D1,124.085,-38.525,270.0,top
D10,168.0,-30.58,0.0,top
D11,176.75,-38.475,270.0,top
D12,178.5,-30.58,0.0,top
D13,187.375,-38.475,270.0,top
D14,189.125,-30.58,0.0,top
D15,198.0,-38.475,270.0,top
D16,199.75,-30.58,0.0,top
D17,134.1625,-56.75,180.0,top
D18,142.6625,-56.75,180.0,top
D2,125.835,-30.63,0.0,top
D3,134.75,-38.475,270.0,top
D4,136.5,-30.58,0.0,top
D5,145.25,-38.475,270.0,top
D6,147.0,-30.58,0.0,top
D7,155.75,-38.475,270.0,top
D8,157.5,-30.58,0.0,top
D9,166.25,-38.475,270.0,top
Q1,128.585,-34.55,270.0,top
Q2,139.25,-34.5,270.0,top
Q3,149.75,-34.5,270.0,top
Q4,160.25,-34.5,270.0,top
Q5,170.75,-34.5,270.0,top
Q6,181.25,-34.5,270.0,top
Q7,191.875,-34.5,270.0,top
Q8,202.5,-34.5,270.0,top
R1,129.5,-38.55,90.0,top
R10,161.0,-38.5,90.0,top
R11,155.75,-34.475,90.0,top
R12,158.5,-38.5,90.0,top
R13,171.5,-38.5,90.0,top
R14,166.25,-34.475,90.0,top
R15,169.0,-38.5,90.0,top
R16,182.0,-38.5,90.0,top
R17,176.75,-34.475,90.0,top
R18,179.5,-38.5,90.0,top
R19,192.75,-38.5,90.0,top
R2,124.085,-34.525,90.0,top
R20,187.375,-34.475,90.0,top
R21,190.125,-38.5,90.0,top
R22,203.25,-38.5,90.0,top
R23,198.0,-34.475,90.0,top
R24,200.75,-38.5,90.0,top
R25,134.1625,-54.25,180.0,top
R26,142.6625,-54.25,180.0,top
R3,126.835,-38.55,90.0,top
R4,140.0,-38.5,90.0,top
R5,134.75,-34.475,90.0,top
R6,137.5,-38.5,90.0,top
R7,150.5,-38.5,90.0,top
R8,145.25,-34.475,90.0,top
R9,148.0,-38.5,90.0,top
U1,162.75,-50.25,180.0,top
