Model,MDO3014
Firmware Version,1.30

Waveform Type,ANALOG,,,,,Waveform Type,DIGITAL
Point Format,Y,,,,,Point Format,Y
Horizontal Units,s,,,,,Horizontal Units,s
Horizontal Scale,4e-07,,,,,Horizontal Scale,4e-07
Horizontal Delay,4.28e-07,,,,,,
Sample Interval,4e-10,,,,,Sample Interval,2e-09
Record Length,10000,,,,,Record Length,2000
Gating,0.0% to 100.0%,,,,,Gating,0.1% to 100.0%
Probe Attenuation,10,10,1000,1,,,
Vertical Units,V,V,V,V,,Vertical Units,V
Vertical Offset,0,0,0,0,,Threshold Used,3.04
Vertical Scale,100,2,2000,1,,,
Vertical Position,-0.06,-3.32,-2.38,-4.08,,,
,,,,,,,
,,,,,,,
,,,,,,,
Label,di/dt,Current,MCP,Trigger,,Label,
TIME,CH1,CH2,CH3,CH4,,TIME,D0
-1.5720e-06,2,-0.08,40,-0.04,,-1.572e-06,0
-1.5716e-06,-2,8.88178e-16,-40,-0.04,,-1.570e-06,0
-1.5712e-06,2,8.88178e-16,40,0,,-1.568e-06,0
-1.5708e-06,2,8.88178e-16,40,0.04,,-1.566e-06,0
-1.5704e-06,2,8.88178e-16,40,0,,-1.564e-06,0
-1.5700e-06,2,8.88178e-16,-40,0,,-1.562e-06,0
-1.5696e-06,-2,8.88178e-16,-40,0,,-1.560e-06,0
-1.5692e-06,2,-0.08,40,-0.04,,-1.558e-06,0
-1.5688e-06,2,-0.08,40,0,,-1.556e-06,0
-1.5684e-06,2,-0.08,-40,-0.04,,-1.554e-06,0
-1.5680e-06,-2,8.88178e-16,40,-0.08,,-1.552e-06,0
-1.5676e-06,2,8.88178e-16,40,-0.04,,-1.550e-06,0
-1.5672e-06,2,8.88178e-16,-40,-0.04,,-1.548e-06,0
-1.5668e-06,-2,-0.08,-40,0,,-1.546e-06,0
-1.5664e-06,2,8.88178e-16,-40,0,,-1.544e-06,0
-1.5660e-06,2,8.88178e-16,40,0,,-1.542e-06,0
-1.5656e-06,-2,8.88178e-16,40,0,,-1.540e-06,0
-1.5652e-06,2,-0.08,40,-0.04,,-1.538e-06,0
-1.5648e-06,-2,8.88178e-16,-40,-0.08,,-1.536e-06,0
-1.5644e-06,-2,8.88178e-16,-40,0,,-1.534e-06,0
-1.5640e-06,-2,8.88178e-16,40,0,,-1.532e-06,0
-1.5636e-06,-2,8.88178e-16,-120,-0.08,,-1.530e-06,0
-1.5632e-06,2,8.88178e-16,40,0.04,,-1.528e-06,0
-1.5628e-06,2,8.88178e-16,40,0,,-1.526e-06,0
-1.5624e-06,2,8.88178e-16,-40,0,,-1.524e-06,0
-1.5620e-06,-2,8.88178e-16,120,-0.04,,-1.522e-06,0
-1.5616e-06,-2,0.08,40,0,,-1.520e-06,0
-1.5612e-06,-2,-0.08,40,0,,-1.518e-06,0
-1.5608e-06,-2,8.88178e-16,40,0,,-1.516e-06,0
-1.5604e-06,-6,8.88178e-16,-40,-0.04,,-1.514e-06,0
-1.5600e-06,2,8.88178e-16,-40,0,,-1.512e-06,0
-1.5596e-06,2,-0.08,40,-0.08,,-1.510e-06,0
-1.5592e-06,2,8.88178e-16,40,0,,-1.508e-06,0
