lambda_nm,intensity
7.043441772460937500e+02,2.134189708158373833e-03
7.041204833984375000e+02,1.945086754858493805e-03
7.038967895507812500e+02,2.104586921632289886e-03
7.036730957031250000e+02,3.198013408109545708e-03
7.034494628906250000e+02,3.598647657781839371e-03
7.032257690429687500e+02,3.550639143213629723e-03
7.030020751953125000e+02,3.258179407566785812e-03
7.027783813476562500e+02,3.554830560460686684e-03
7.025546875000000000e+02,3.990284167230129242e-03
7.023309936523437500e+02,3.406640840694308281e-03
7.021073608398437500e+02,4.078145138919353485e-03
7.018836669921875000e+02,3.678325098007917404e-03
7.016599731445312500e+02,3.025501733645796776e-03
7.014362792968750000e+02,3.421151079237461090e-03
7.012125854492187500e+02,3.391629084944725037e-03
7.009888916015625000e+02,3.345928853377699852e-03
7.007651977539062500e+02,3.624034579843282700e-03
7.005415649414062500e+02,3.908370155841112137e-03
7.003178710937500000e+02,3.883063327521085739e-03
7.000941772460937500e+02,3.409108845517039299e-03
6.998704833984375000e+02,2.819942310452461243e-03
6.996467895507812500e+02,3.171843709424138069e-03
6.994230957031250000e+02,3.028434235602617264e-03
6.991994018554687500e+02,3.328651189804077148e-03
6.989757690429687500e+02,4.690021276473999023e-03
6.987520751953125000e+02,5.455738399177789688e-03
6.985283813476562500e+02,4.141730722039937973e-03
6.983046875000000000e+02,3.025294048711657524e-03
6.980809936523437500e+02,3.520748345181345940e-03
6.978572998046875000e+02,3.961174748837947845e-03
6.976336059570312500e+02,3.152838209643959999e-03
6.974099731445312500e+02,1.834189984947443008e-03
6.971862792968750000e+02,2.417454263195395470e-03
6.969625854492187500e+02,4.234076011925935745e-03
6.967388916015625000e+02,5.244633182883262634e-03
6.965151977539062500e+02,4.502652678638696671e-03
6.962915039062500000e+02,5.280036944895982742e-03
6.960678100585937500e+02,4.689834546297788620e-03
6.958441772460937500e+02,4.080809652805328369e-03
6.956204833984375000e+02,2.781286602839827538e-03
6.953967895507812500e+02,2.491648076102137566e-03
6.951730957031250000e+02,2.076653297990560532e-03
6.949494018554687500e+02,2.523349365219473839e-03
6.947257080078125000e+02,3.489103633910417557e-03
6.945020141601562500e+02,3.190311836078763008e-03
6.942783813476562500e+02,3.667913377285003662e-03
6.940546875000000000e+02,4.078021273016929626e-03
6.938309936523437500e+02,4.894954152405261993e-03
