lambda_nm,intensity
5.812746582031250000e+02,1.209650468081235886e-02
5.815244140625000000e+02,1.219635829329490662e-02
5.817741088867187500e+02,1.197913382202386856e-02
5.820238647460937500e+02,1.185403112322092056e-02
5.822735595703125000e+02,1.212756242603063583e-02
5.825233154296875000e+02,1.209724973887205124e-02
5.827730102539062500e+02,1.267230417579412460e-02
5.830227661132812500e+02,1.220354065299034119e-02
5.832724609375000000e+02,1.168960332870483398e-02
5.835222167968750000e+02,1.136005669832229614e-02
5.837719726562500000e+02,1.173340249806642532e-02
5.840216674804687500e+02,1.193874236196279526e-02
5.842713623046875000e+02,1.174623426049947739e-02
5.845211181640625000e+02,1.074549555778503418e-02
5.847708740234375000e+02,1.118561346083879471e-02
5.850205688476562500e+02,1.220831926912069321e-02
5.852702636718750000e+02,1.178542338311672211e-02
5.855200195312500000e+02,1.204660721123218536e-02
5.857697753906250000e+02,1.241368800401687622e-02
5.860194702148437500e+02,1.232092548161745071e-02
5.862691650390625000e+02,1.230593025684356689e-02
5.865189208984375000e+02,1.211830321699380875e-02
5.867686767578125000e+02,1.188748329877853394e-02
5.870183715820312500e+02,1.199795398861169815e-02
5.872681274414062500e+02,1.195414271205663681e-02
5.875178222656250000e+02,1.194188185036182404e-02
5.877675781250000000e+02,1.270078029483556747e-02
5.880172729492187500e+02,1.268964260816574097e-02
5.882670288085937500e+02,1.224472559988498688e-02
5.885167236328125000e+02,1.247039809823036194e-02
5.887664794921875000e+02,1.279887091368436813e-02
5.890161743164062500e+02,1.280983164906501770e-02
5.892659301757812500e+02,1.233682967722415924e-02
5.895156250000000000e+02,1.213826704770326614e-02
5.897653808593750000e+02,1.154124364256858826e-02
5.900151367187500000e+02,1.177039556205272675e-02
5.902648315429687500e+02,1.347667630761861801e-02
5.905145263671875000e+02,1.257465314120054245e-02
5.907642822265625000e+02,1.233524736016988754e-02
5.910140380859375000e+02,1.299813017249107361e-02
5.912637329101562500e+02,1.262099295854568481e-02
5.915134277343750000e+02,1.313723344355821609e-02
5.917631835937500000e+02,1.262951456010341644e-02
5.920129394531250000e+02,1.278491970151662827e-02
5.922626342773437500e+02,1.406024955213069916e-02
5.925123291015625000e+02,1.446849294006824493e-02
5.927620849609375000e+02,1.243186648935079575e-02
5.930118408203125000e+02,1.248719822615385056e-02
5.932615356445312500e+02,1.223505102097988129e-02
5.935112304687500000e+02,1.221148110926151276e-02
5.937609863281250000e+02,1.356828678399324417e-02
5.940107421875000000e+02,1.349539309740066528e-02
5.942604370117187500e+02,1.239092461764812469e-02
5.945101928710937500e+02,1.235547568649053574e-02
5.947598876953125000e+02,1.303706504404544830e-02
5.950096435546875000e+02,1.319470908492803574e-02
5.952593383789062500e+02,1.304376218467950821e-02
5.955090942382812500e+02,1.298454031348228455e-02
5.957587890625000000e+02,1.281225215643644333e-02
5.960085449218750000e+02,1.354049425572156906e-02
5.962582397460937500e+02,1.291481871157884598e-02
5.965079956054687500e+02,1.272835116833448410e-02
5.967576904296875000e+02,1.340457797050476074e-02
5.970074462890625000e+02,1.297633722424507141e-02
5.972572021484375000e+02,1.226670015603303909e-02
5.975068969726562500e+02,1.228428352624177933e-02
5.977565917968750000e+02,1.221613958477973938e-02
5.980063476562500000e+02,1.232695952057838440e-02
5.982561035156250000e+02,1.283827237784862518e-02
5.985057983398437500e+02,1.269710622727870941e-02
5.987554931640625000e+02,1.274347864091396332e-02
5.990052490234375000e+02,1.185141131281852722e-02
5.992550048828125000e+02,1.232748758047819138e-02
5.995046997070312500e+02,1.349196024239063263e-02
5.997543945312500000e+02,1.200898177921772003e-02
6.000041503906250000e+02,1.190014556050300598e-02
6.002539062500000000e+02,1.238742377609014511e-02
6.005036010742187500e+02,1.251332741230726242e-02
6.007532958984375000e+02,1.187062077224254608e-02
6.010030517578125000e+02,1.217657700181007385e-02
6.012528076171875000e+02,1.235053222626447678e-02
6.015025024414062500e+02,1.241130661219358444e-02
6.017522583007812500e+02,1.282368786633014679e-02
6.020019531250000000e+02,1.286477688699960709e-02
6.022517089843750000e+02,1.258577965199947357e-02
6.025014038085937500e+02,1.279757358133792877e-02
6.027511596679687500e+02,1.198223419487476349e-02
6.030008544921875000e+02,1.218118146061897278e-02
6.032506103515625000e+02,1.329381577670574188e-02
6.035003051757812500e+02,1.223481446504592896e-02
6.037500610351562500e+02,1.160418521612882614e-02
6.039997558593750000e+02,1.278293877840042114e-02
6.042495117187500000e+02,1.333827059715986252e-02
6.044992675781250000e+02,1.357870548963546753e-02
6.047489624023437500e+02,1.260470971465110779e-02
6.049986572265625000e+02,1.260470971465110779e-02
6.052484130859375000e+02,1.260470971465110779e-02
6.054981689453125000e+02,1.261894311755895615e-02
6.057478637695312500e+02,1.292494032531976700e-02
6.059975585937500000e+02,1.318869367241859436e-02
6.062473144531250000e+02,1.279584411531686783e-02
6.064970703125000000e+02,1.244098227471113205e-02
6.067467651367187500e+02,1.237212587147951126e-02
6.069964599609375000e+02,1.273541618138551712e-02
6.072462158203125000e+02,1.275156531482934952e-02
6.074959716796875000e+02,1.388554368168115616e-02
6.077456665039062500e+02,1.263071037828922272e-02
