lambda_nm,intensity
7.078380126953125000e+02,9.142533876001834869e-03
7.076142578125000000e+02,9.127160534262657166e-03
7.073905029296875000e+02,8.744815364480018616e-03
7.071667480468750000e+02,8.655766025185585022e-03
7.069429931640625000e+02,1.000218372792005539e-02
7.067192382812500000e+02,9.556976146996021271e-03
7.064954833984375000e+02,9.150815196335315704e-03
7.062717285156250000e+02,9.355643764138221741e-03
7.060479736328125000e+02,9.353128261864185333e-03
7.058242187500000000e+02,9.254022501409053802e-03
7.056004638671875000e+02,1.014807354658842087e-02
7.053767089843750000e+02,1.001970656216144562e-02
7.051529541015625000e+02,9.436244145035743713e-03
7.049291992187500000e+02,9.052373468875885010e-03
7.047054443359375000e+02,9.087278507649898529e-03
7.044816894531250000e+02,9.023004211485385895e-03
7.042579345703125000e+02,8.713474497199058533e-03
7.040341796875000000e+02,8.689261972904205322e-03
7.038104248046875000e+02,9.361966513097286224e-03
7.035866699218750000e+02,1.006229966878890991e-02
7.033629150390625000e+02,9.592372924089431763e-03
7.031391601562500000e+02,9.300756268203258514e-03
7.029154052734375000e+02,1.047696918249130249e-02
7.026915893554687500e+02,9.263372980058193207e-03
7.024678344726562500e+02,8.517293259501457214e-03
7.022440795898437500e+02,8.517293259501457214e-03
7.020203247070312500e+02,8.391845971345901489e-03
7.017965698242187500e+02,8.257186971604824066e-03
7.015728149414062500e+02,8.625894784927368164e-03
7.013490600585937500e+02,8.790789172053337097e-03
7.011253051757812500e+02,8.393102325499057770e-03
7.009015502929687500e+02,8.265265263617038727e-03
7.006777954101562500e+02,8.680181577801704407e-03
7.004540405273437500e+02,8.901057764887809753e-03
7.002302856445312500e+02,8.927259594202041626e-03
7.000065307617187500e+02,8.918770588934421539e-03
6.997827758789062500e+02,8.633647114038467407e-03
6.995590209960937500e+02,8.878882043063640594e-03
6.993352661132812500e+02,9.455064311623573303e-03
6.991115112304687500e+02,1.013907976448535919e-02
6.988877563476562500e+02,1.045487914234399796e-02
6.986640014648437500e+02,1.041394378989934921e-02
6.984402465820312500e+02,9.696266613900661469e-03
6.982164916992187500e+02,9.099592454731464386e-03
6.979927368164062500e+02,1.019765250384807587e-02
6.977689819335937500e+02,1.212044525891542435e-02
6.975452270507812500e+02,1.279686484485864639e-02
6.973214721679687500e+02,1.279817987233400345e-02
6.970977172851562500e+02,1.304285135120153427e-02
6.968739624023437500e+02,1.314499415457248688e-02
6.966502075195312500e+02,1.277197431772947311e-02
6.964264526367187500e+02,1.267372909933328629e-02
6.962026977539062500e+02,1.278286240994930267e-02
6.959789428710937500e+02,1.305204443633556366e-02
6.957551879882812500e+02,1.373656373471021652e-02
6.955314331054687500e+02,1.374043617397546768e-02
6.953076782226562500e+02,1.437603123486042023e-02
6.950839233398437500e+02,1.470222510397434235e-02
6.948601684570312500e+02,1.481693517416715622e-02
6.946364135742187500e+02,1.484184805303812027e-02
6.944126586914062500e+02,1.455242000520229340e-02
6.941889038085937500e+02,1.489330455660820007e-02
6.939651489257812500e+02,1.486199814826250076e-02
6.937413940429687500e+02,1.387589052319526672e-02
6.935176391601562500e+02,1.362104900181293488e-02
6.932938842773437500e+02,1.446060556918382645e-02
6.930701293945312500e+02,1.511674281209707260e-02
6.928463745117187500e+02,1.651079393923282623e-02
6.926226196289062500e+02,1.644853129982948303e-02
6.923988647460937500e+02,1.612637192010879517e-02
6.921751098632812500e+02,1.521390303969383240e-02
6.919513549804687500e+02,1.622773893177509308e-02
6.917276000976562500e+02,1.682681217789649963e-02
6.915038452148437500e+02,1.691970415413379669e-02
6.912800903320312500e+02,1.646089367568492889e-02
6.910563354492187500e+02,1.625023409724235535e-02
6.908325805664062500e+02,1.613276265561580658e-02
6.906088256835937500e+02,1.560480054467916489e-02
6.903850708007812500e+02,1.642548292875289917e-02
6.901613159179687500e+02,1.691826432943344116e-02
6.899375610351562500e+02,1.756316982209682465e-02
6.897138061523437500e+02,1.762296259403228760e-02
6.894900512695312500e+02,1.705899834632873535e-02
6.892662963867187500e+02,1.690933480858802795e-02
6.890425415039062500e+02,1.758210919797420502e-02
6.888187866210937500e+02,1.852131262421607971e-02
6.885950317382812500e+02,1.858144812285900116e-02
6.883712768554687500e+02,1.842294447124004364e-02
6.881475219726562500e+02,1.849040016531944275e-02
6.879237670898437500e+02,1.860499009490013123e-02
6.877000122070312500e+02,1.910260692238807678e-02
6.874762573242187500e+02,1.811685785651206970e-02
6.872525024414062500e+02,1.773500256240367889e-02
6.870287475585937500e+02,1.849871687591075897e-02
6.868049926757812500e+02,1.910493709146976471e-02
6.865812377929687500e+02,2.047081105411052704e-02
6.863574829101562500e+02,1.970547623932361603e-02
6.861337280273437500e+02,1.809614524245262146e-02
6.859099731445312500e+02,1.837006583809852600e-02
6.856862182617187500e+02,1.970068365335464478e-02
6.854624633789062500e+02,1.982166245579719543e-02
6.852387084960937500e+02,1.999542117118835449e-02
6.850149536132812500e+02,1.971223950386047363e-02
6.847911376953125000e+02,1.951756887137889862e-02
6.845673828125000000e+02,1.982615888118743896e-02
6.843436279296875000e+02,2.017908170819282532e-02
6.841198730468750000e+02,2.068438008427619934e-02
6.838961181640625000e+02,2.080869115889072418e-02
6.836723632812500000e+02,2.154838107526302338e-02
6.834486083984375000e+02,2.135345712304115295e-02
6.832248535156250000e+02,1.993046887218952179e-02
6.830010986328125000e+02,1.982017606496810913e-02
6.827773437500000000e+02,2.125878632068634033e-02
6.825535888671875000e+02,2.155774831771850586e-02
6.823298339843750000e+02,2.062407508492469788e-02
6.821060791015625000e+02,2.065180800855159760e-02
6.818823242187500000e+02,2.264055609703063965e-02
6.816585693359375000e+02,2.217506431043148041e-02
6.814348144531250000e+02,2.067865617573261261e-02
6.812110595703125000e+02,2.049516327679157257e-02
6.809873046875000000e+02,2.211767435073852539e-02
6.807635498046875000e+02,2.211764268577098846e-02
6.805397949218750000e+02,1.938371919095516205e-02
6.803160400390625000e+02,1.900569535791873932e-02
6.800922851562500000e+02,1.966644264757633209e-02
6.798685302734375000e+02,2.065926231443881989e-02
6.796447753906250000e+02,2.023807726800441742e-02
6.794210205078125000e+02,1.984755136072635651e-02
6.791972656250000000e+02,2.120632305741310120e-02
6.789735107421875000e+02,2.164307795464992523e-02
6.787497558593750000e+02,2.129986882209777832e-02
6.785260009765625000e+02,2.096041478216648102e-02
6.783022460937500000e+02,1.907221786677837372e-02
6.780784912109375000e+02,1.882878877222537994e-02
6.778547363281250000e+02,2.020001038908958435e-02
6.776309814453125000e+02,2.024984732270240784e-02
6.774072265625000000e+02,1.960610412061214447e-02
6.771834716796875000e+02,1.791843958199024200e-02
6.769597167968750000e+02,1.768271252512931824e-02
6.767359619140625000e+02,1.776354387402534485e-02
6.765122070312500000e+02,1.692130230367183685e-02
6.762884521484375000e+02,1.671886816620826721e-02
6.760646972656250000e+02,1.737548597157001495e-02
6.758409423828125000e+02,1.734061725437641144e-02
6.756171875000000000e+02,1.729574613273143768e-02
6.753934326171875000e+02,1.623426377773284912e-02
6.751696777343750000e+02,1.605859026312828064e-02
6.749459228515625000e+02,1.606273278594017029e-02
6.747221679687500000e+02,1.550040394067764282e-02
6.744984130859375000e+02,1.483948249369859695e-02
6.742746582031250000e+02,1.579023897647857666e-02
6.740509033203125000e+02,1.646782457828521729e-02
6.738271484375000000e+02,1.657504588365554810e-02
6.736033935546875000e+02,1.614273712038993835e-02
6.733796386718750000e+02,1.572134718298912048e-02
6.731558837890625000e+02,1.391433738172054291e-02
6.729321289062500000e+02,1.354677230119705200e-02
6.727083740234375000e+02,1.438901945948600769e-02
6.724846191406250000e+02,1.451368164271116257e-02
6.722608642578125000e+02,1.376347057521343231e-02
6.720371093750000000e+02,1.319824811071157455e-02
6.718133544921875000e+02,1.305087003856897354e-02
6.715895996093750000e+02,1.325043756514787674e-02
6.713658447265625000e+02,1.327352039515972137e-02
6.711420898437500000e+02,1.269912626594305038e-02
6.709183349609375000e+02,1.135877985507249832e-02
6.706945800781250000e+02,1.094295084476470947e-02
6.704708251953125000e+02,1.110751740634441376e-02
6.702470703125000000e+02,1.200234610587358475e-02
6.700233154296875000e+02,1.314593665301799774e-02
6.697995605468750000e+02,1.293559279292821884e-02
6.695758056640625000e+02,1.156771555542945862e-02
6.693520507812500000e+02,1.035670004785060883e-02
6.691282958984375000e+02,1.103944703936576843e-02
6.689045410156250000e+02,1.291300635784864426e-02
6.686807861328125000e+02,1.297075860202312469e-02
6.684570312500000000e+02,1.111432816833257675e-02
6.682332763671875000e+02,1.017225533723831177e-02
6.680095214843750000e+02,1.170025486499071121e-02
6.677857666015625000e+02,1.261844485998153687e-02
6.675620117187500000e+02,1.102439779788255692e-02
6.673382568359375000e+02,1.015068031847476959e-02
6.671145019531250000e+02,1.003004331141710281e-02
6.668907470703125000e+02,1.064690202474594116e-02
6.666669311523437500e+02,1.069078128784894943e-02
6.664431762695312500e+02,1.105673890560865402e-02
6.662194213867187500e+02,1.100396644324064255e-02
6.659956665039062500e+02,9.993951767683029175e-03
6.657719116210937500e+02,9.714907966554164886e-03
6.655481567382812500e+02,9.894787333905696869e-03
6.653244018554687500e+02,9.932791814208030701e-03
6.651006469726562500e+02,1.004610210657119751e-02
6.648768920898437500e+02,9.303063154220581055e-03
6.646531372070312500e+02,9.002009406685829163e-03
6.644293823242187500e+02,9.386189281940460205e-03
6.642056274414062500e+02,9.210300631821155548e-03
6.639818725585937500e+02,1.032086368650197983e-02
6.637581176757812500e+02,1.000745687633752823e-02
6.635343627929687500e+02,1.029453519731760025e-02
6.633106079101562500e+02,1.045136805623769760e-02
6.630868530273437500e+02,9.800334461033344269e-03
6.628630981445312500e+02,9.538204409182071686e-03
6.626393432617187500e+02,1.001640129834413528e-02
6.624155883789062500e+02,1.102005504071712494e-02
6.621918334960937500e+02,1.031176652759313583e-02
6.619680786132812500e+02,9.637939743697643280e-03
6.617443237304687500e+02,9.123383089900016785e-03
6.615205688476562500e+02,9.109603241086006165e-03
6.612968139648437500e+02,1.028457470238208771e-02
6.610730590820312500e+02,9.949770756065845490e-03
6.608493041992187500e+02,9.557330980896949768e-03
6.606255493164062500e+02,9.610899724066257477e-03
6.604017944335937500e+02,8.965892717242240906e-03
6.601780395507812500e+02,9.098943322896957397e-03
6.599542846679687500e+02,9.448144584894180298e-03
6.597305297851562500e+02,9.432172402739524841e-03
6.595067749023437500e+02,8.925947360694408417e-03
6.592830200195312500e+02,8.693838492035865784e-03
6.590592651367187500e+02,8.861573413014411926e-03
6.588355102539062500e+02,8.782203309237957001e-03
6.586117553710937500e+02,9.078769013285636902e-03
6.583880004882812500e+02,9.222107939422130585e-03
6.581642456054687500e+02,9.579849429428577423e-03
6.579404907226562500e+02,9.683132171630859375e-03
6.577167358398437500e+02,9.693025611340999603e-03
6.574929809570312500e+02,9.100876748561859131e-03
6.572692260742187500e+02,9.662895463407039642e-03
6.570454711914062500e+02,9.916231036186218262e-03
6.568217163085937500e+02,9.161635302007198334e-03
6.565979614257812500e+02,9.068772196769714355e-03
6.563742065429687500e+02,9.532433934509754181e-03
6.561504516601562500e+02,9.542871266603469849e-03
6.559266967773437500e+02,9.883747436106204987e-03
6.557029418945312500e+02,9.878844022750854492e-03
6.554791870117187500e+02,9.990795515477657318e-03
6.552554321289062500e+02,9.978543967008590698e-03
6.550316772460937500e+02,9.668596088886260986e-03
6.548079223632812500e+02,9.695039130747318268e-03
6.545841674804687500e+02,1.004822272807359695e-02
6.543604125976562500e+02,1.008165907114744186e-02
6.541366577148437500e+02,1.008175499737262726e-02
6.539129028320312500e+02,1.021162886172533035e-02
6.536891479492187500e+02,1.039191521704196930e-02
6.534653930664062500e+02,1.035165414214134216e-02
6.532416381835937500e+02,1.001682505011558533e-02
6.530178833007812500e+02,9.901575744152069092e-03
6.527941284179687500e+02,8.520926348865032196e-03
6.525703735351562500e+02,8.934286423027515411e-03
6.523466186523437500e+02,1.013707742094993591e-02
6.521228637695312500e+02,9.824246168136596680e-03
6.518991088867187500e+02,9.281559847295284271e-03
6.516753540039062500e+02,9.096013382077217102e-03
6.514515991210937500e+02,1.009285915642976761e-02
6.512278442382812500e+02,1.015267148613929749e-02
6.510040893554687500e+02,1.000585872679948807e-02
6.507803344726562500e+02,9.712284430861473083e-03
6.505565795898437500e+02,1.017299294471740723e-02
6.503328247070312500e+02,1.033043116331100464e-02
6.501090698242187500e+02,1.003414858132600784e-02
6.498853149414062500e+02,1.048635412007570267e-02
6.496615600585937500e+02,1.025108806788921356e-02
6.494378051757812500e+02,1.029155496507883072e-02
6.492140502929687500e+02,1.100296527147293091e-02
6.489902343750000000e+02,1.235172618180513382e-02
6.487664794921875000e+02,1.160936057567596436e-02
6.485427856445312500e+02,1.065011974424123764e-02
6.483189697265625000e+02,1.210106350481510162e-02
6.480952148437500000e+02,1.212665718048810959e-02
6.478714599609375000e+02,9.921412914991378784e-03
6.476477050781250000e+02,9.760464541614055634e-03
6.474239501953125000e+02,1.057310029864311218e-02
6.472001953125000000e+02,1.254418212920427322e-02
